DEBUG    - 2024-06-10 20:48:54,663. в 1718041734.6639738 секунд записала сообщение: Прямоугольник со сторонами 6 и 6
ERROR    - 2024-06-10 20:48:54,664. в 1718041734.664069 секунд записала сообщение: Ширина должна быть положительной, а не -3
ERROR    - 2024-06-10 20:48:54,664. в 1718041734.6641362 секунд записала сообщение: Высота должна быть положительной, а не -3
ERROR    - 2024-06-10 20:48:54,664. в 1718041734.6641746 секунд записала сообщение: Высота должна быть положительной, а не -7
INFO     - 2024-06-10 20:48:54,664. в 1718041734.664205 секунд записала сообщение: Площадь прямоугольника равна 25
INFO     - 2024-06-10 20:48:54,664. в 1718041734.66423 секунд записала сообщение: Периметр прямоугольника равен 12
INFO     - 2024-06-10 20:48:54,664. в 1718041734.6642528 секунд записала сообщение: Периметр прямоугольника равен 20
INFO     - 2024-06-10 20:48:54,664. в 1718041734.6642723 секунд записала сообщение: Периметр прямоугольника равен 12
INFO     - 2024-06-10 20:48:54,664. в 1718041734.664293 секунд записала сообщение: В результате сложения получен новый прямоугольник со сторонами 7 и 9
INFO     - 2024-06-10 20:48:54,664. в 1718041734.664315 секунд записала сообщение: Периметр прямоугольника равен 20
INFO     - 2024-06-10 20:48:54,664. в 1718041734.6643338 секунд записала сообщение: Периметр прямоугольника равен 12
INFO     - 2024-06-10 20:48:54,664. в 1718041734.6643546 секунд записала сообщение: Периметр прямоугольника равен 20
INFO     - 2024-06-10 20:48:54,664. в 1718041734.6643755 секунд записала сообщение: Периметр прямоугольника равен 12
INFO     - 2024-06-10 20:48:54,664. в 1718041734.664396 секунд записала сообщение: В результате вычитания получен новый прямоугольник со сторонами 3 и 1
